size_bytes,pageable_h2d_gb_s,pageable_d2h_gb_s,pinned_h2d_gb_s,pinned_d2h_gb_s
1048576,3.136961,4.204140,11.145578,11.877245
2097152,3.733678,6.102995,11.640497,12.392042
4194304,4.048264,6.383446,11.960215,12.710218
8388608,4.256621,5.913778,12.161696,12.922197
16777216,4.319690,5.062210,12.268415,13.030501
33554432,4.407273,4.751939,12.326070,13.091744
67108864,4.449622,4.582356,12.354874,13.125293
134217728,4.465619,4.484720,12.368423,13.139337
268435456,4.468550,4.437529,12.375361,13.143871
536870912,4.467572,4.411745,12.378327,13.146294
1073741824,4.505399,4.423287,12.380746,13.149808
